"","date","site","value","name","log","trigger"
"1",2013-04-23,"Antermony Loch inflow",10,"Total","B",2
"2",2013-04-23,"Antermony Loch inflow",1,"Cased caddis","A",2
"3",2013-04-23,"Antermony Loch inflow",20,"Flat bodied (Heptageniidae)","B",2
"4",2013-04-23,"Antermony Loch inflow",40,"Olives (Baetidae)","B",2
"5",2013-04-23,"Antermony Loch inflow",120,"Stoneflies","C",2
"6",2013-04-23,"Antermony Loch inflow",30,"Freshwater shrimp","B",2
"7",2013-05-23,"Antermony Loch inflow",10,"Total","B",2
"8",2013-05-23,"Antermony Loch inflow",3,"Cased caddis","A",2
"9",2013-05-23,"Antermony Loch inflow",40,"Flat bodied (Heptageniidae)","B",2
"10",2013-05-23,"Antermony Loch inflow",80,"Olives (Baetidae)","B",2
"11",2013-05-23,"Antermony Loch inflow",90,"Stoneflies","B",2
"12",2013-05-23,"Antermony Loch inflow",120,"Freshwater shrimp","C",2
"13",2013-06-25,"Antermony Loch inflow",10,"Total","B",2
"14",2013-06-25,"Antermony Loch inflow",1,"Cased caddis","A",2
"15",2013-06-25,"Antermony Loch inflow",1,"Caseless caddis","A",2
"16",2013-06-25,"Antermony Loch inflow",20,"Flat bodied (Heptageniidae)","B",2
"17",2013-06-25,"Antermony Loch inflow",20,"Olives (Baetidae)","B",2
"18",2013-06-25,"Antermony Loch inflow",20,"Stoneflies","B",2
"19",2013-06-25,"Antermony Loch inflow",60,"Freshwater shrimp","B",2
"20",2013-07-27,"Antermony Loch inflow",7,"Total","A",2
"21",2013-07-27,"Antermony Loch inflow",2,"Cased caddis","A",2
"22",2013-07-27,"Antermony Loch inflow",6,"Flat bodied (Heptageniidae)","A",2
"23",2013-07-27,"Antermony Loch inflow",50,"Stoneflies","B",2
"24",2013-07-27,"Antermony Loch inflow",100,"Freshwater shrimp","C",2
"25",2013-08-23,"Antermony Loch inflow",6,"Total","A",2
"26",2013-08-23,"Antermony Loch inflow",5,"Olives (Baetidae)","A",2
"27",2013-08-23,"Antermony Loch inflow",20,"Stoneflies","B",2
"28",2013-08-23,"Antermony Loch inflow",100,"Freshwater shrimp","C",2
"29",2013-09-23,"Antermony Loch inflow",7,"Total","A",2
"30",2013-09-23,"Antermony Loch inflow",2,"Caseless caddis","A",2
"31",2013-09-23,"Antermony Loch inflow",5,"Flat bodied (Heptageniidae)","A",2
"32",2013-09-23,"Antermony Loch inflow",10,"Olives (Baetidae)","B",2
"33",2013-09-23,"Antermony Loch inflow",400,"Freshwater shrimp","C",2
"34",2013-10-24,"Antermony Loch inflow",9,"Total","A",2
"35",2013-10-24,"Antermony Loch inflow",10,"Flat bodied (Heptageniidae)","B",2
"36",2013-10-24,"Antermony Loch inflow",30,"Olives (Baetidae)","B",2
"37",2013-10-24,"Antermony Loch inflow",30,"Stoneflies","B",2
"38",2013-10-24,"Antermony Loch inflow",200,"Freshwater shrimp","C",2
"39",2013-11-27,"Antermony Loch inflow",10,"Total","B",2
"40",2013-11-27,"Antermony Loch inflow",40,"Flat bodied (Heptageniidae)","B",2
"41",2013-11-27,"Antermony Loch inflow",30,"Olives (Baetidae)","B",2
"42",2013-11-27,"Antermony Loch inflow",100,"Stoneflies","C",2
"43",2013-11-27,"Antermony Loch inflow",100,"Freshwater shrimp","C",2
"44",2013-12-23,"Antermony Loch inflow",12,"Total","B",2
"45",2013-12-23,"Antermony Loch inflow",6,"Caseless caddis","A",2
"46",2013-12-23,"Antermony Loch inflow",1,"BWO (Ephemerellidae)","A",2
"47",2013-12-23,"Antermony Loch inflow",20,"Flat bodied (Heptageniidae)","B",2
"48",2013-12-23,"Antermony Loch inflow",50,"Olives (Baetidae)","B",2
"49",2013-12-23,"Antermony Loch inflow",100,"Stoneflies","C",2
"50",2013-12-23,"Antermony Loch inflow",100,"Freshwater shrimp","C",2
"51",2013-07-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",7,"Total","A",2
"52",2013-07-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",1,"Cased caddis","A",2
"53",2013-07-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",2,"Caseless caddis","A",2
"54",2013-07-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",6,"BWO (Ephemerellidae)","A",2
"55",2013-07-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",1,"Olives (Baetidae)","A",2
"56",2013-07-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",1,"Stoneflies","A",2
"57",2013-07-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",32,"Freshwater shrimp","B",2
"58",2013-08-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",9,"Total","A",2
"59",2013-08-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",3,"Cased caddis","A",2
"60",2013-08-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",3,"Caseless caddis","A",2
"61",2013-08-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",2,"BWO (Ephemerellidae)","A",2
"62",2013-08-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",40,"Olives (Baetidae)","B",2
"63",2013-08-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",2,"Stoneflies","A",2
"64",2013-08-30,"Aurs Burn U/S Brock Burn GR 67786 59543 -July 2013",500,"Freshwater shrimp","C",2
"65",2013-07-25,"Avon at Clubhouse",8,"Total","A",2
"66",2013-07-25,"Avon at Clubhouse",15,"Caseless caddis","B",2
"67",2013-07-25,"Avon at Clubhouse",9,"BWO (Ephemerellidae)","A",2
"68",2013-07-25,"Avon at Clubhouse",9,"Flat bodied (Heptageniidae)","A",2
"69",2013-07-25,"Avon at Clubhouse",90,"Olives (Baetidae)","B",2
"70",2013-07-25,"Avon at Clubhouse",9,"Stoneflies","A",2
"71",2013-07-25,"Avon at Clubhouse",2,"Freshwater shrimp","A",2
"72",2013-09-28,"Avon at Clubhouse",6,"Total","A",2
"73",2013-09-28,"Avon at Clubhouse",3,"Caseless caddis","A",2
"74",2013-09-28,"Avon at Clubhouse",7,"Flat bodied (Heptageniidae)","A",2
"75",2013-09-28,"Avon at Clubhouse",50,"Olives (Baetidae)","B",2
"76",2013-09-28,"Avon at Clubhouse",1,"Stoneflies","A",2
"77",2013-09-28,"Avon at Clubhouse",2,"Freshwater shrimp","A",2
"78",2013-07-26,"Avon ds old Glassford Br",6,"Total","A",2
"79",2013-07-26,"Avon ds old Glassford Br",7,"Caseless caddis","A",2
"80",2013-07-26,"Avon ds old Glassford Br",6,"Flat bodied (Heptageniidae)","A",2
"81",2013-07-26,"Avon ds old Glassford Br",40,"Olives (Baetidae)","B",2
"82",2013-07-26,"Avon ds old Glassford Br",2,"Stoneflies","A",2
"83",2013-07-26,"Avon ds old Glassford Br",3,"Freshwater shrimp","A",2
"84",2013-07-26,"Avon us Glassford",5,"Total","A",2
"85",2013-07-26,"Avon us Glassford",2,"Caseless caddis","A",2
"86",2013-07-26,"Avon us Glassford",2,"BWO (Ephemerellidae)","A",2
"87",2013-07-26,"Avon us Glassford",2,"Flat bodied (Heptageniidae)","A",2
"88",2013-07-26,"Avon us Glassford",25,"Olives (Baetidae)","B",2
"89",2013-10-01,"Avon us Glassford",6,"Total","A",2
"90",2013-10-01,"Avon us Glassford",6,"Caseless caddis","A",2
"91",2013-10-01,"Avon us Glassford",2,"BWO (Ephemerellidae)","A",2
"92",2013-10-01,"Avon us Glassford",7,"Flat bodied (Heptageniidae)","A",2
"93",2013-10-01,"Avon us Glassford",20,"Olives (Baetidae)","B",2
"94",2013-10-01,"Avon us Glassford",1,"Freshwater shrimp","A",2
"95",2013-07-30,"Brock Burn Waulkmill Glen GR 52131 58192",6,"Total","A",2
"96",2013-07-30,"Brock Burn Waulkmill Glen GR 52131 58192",3,"Cased caddis","A",2
"97",2013-07-30,"Brock Burn Waulkmill Glen GR 52131 58192",7,"Caseless caddis","A",2
"98",2013-07-30,"Brock Burn Waulkmill Glen GR 52131 58192",1,"Olives (Baetidae)","A",2
"99",2013-07-30,"Brock Burn Waulkmill Glen GR 52131 58192",3,"Stoneflies","A",2
"100",2013-07-30,"Brock Burn Waulkmill Glen GR 52131 58192",40,"Freshwater shrimp","B",2
"101",2013-08-30,"Brock Burn Waulkmill Glen GR 52131 58192",9,"Total","A",2
"102",2013-08-30,"Brock Burn Waulkmill Glen GR 52131 58192",1,"Cased caddis","A",2
"103",2013-08-30,"Brock Burn Waulkmill Glen GR 52131 58192",5,"Caseless caddis","A",2
"104",2013-08-30,"Brock Burn Waulkmill Glen GR 52131 58192",8,"Flat bodied (Heptageniidae)","A",2
"105",2013-08-30,"Brock Burn Waulkmill Glen GR 52131 58192",28,"Olives (Baetidae)","B",2
"106",2013-08-30,"Brock Burn Waulkmill Glen GR 52131 58192",6,"Stoneflies","A",2
"107",2013-08-30,"Brock Burn Waulkmill Glen GR 52131 58192",101,"Freshwater shrimp","C",2
"108",2013-09-14,"Broons Bridge",8,"Total","A",2
"109",2013-09-14,"Broons Bridge",9,"Caseless caddis","A",2
"110",2013-09-14,"Broons Bridge",50,"Flat bodied (Heptageniidae)","B",2
"111",2013-09-14,"Broons Bridge",35,"Olives (Baetidae)","B",2
"112",2013-09-14,"Broons Bridge",14,"Stoneflies","B",2
"113",2013-09-14,"Broons Bridge",6,"Freshwater shrimp","A",2
"114",2013-09-14,"Brownhill Bridge",10,"Total","B",2
"115",2013-09-14,"Brownhill Bridge",7,"Caseless caddis","A",2
"116",2013-09-14,"Brownhill Bridge",300,"Flat bodied (Heptageniidae)","C",2
"117",2013-09-14,"Brownhill Bridge",100,"Olives (Baetidae)","C",2
"118",2013-09-14,"Brownhill Bridge",7,"Stoneflies","A",2
"119",2013-09-14,"Brownhill Bridge",300,"Freshwater shrimp","C",2
"120",2013-05-09,"Clyde - d/s Camps Road, Crawford",9,"Total","A",2
"121",2013-05-09,"Clyde - d/s Camps Road, Crawford",20,"Caseless caddis","B",2
"122",2013-05-09,"Clyde - d/s Camps Road, Crawford",150,"Flat bodied (Heptageniidae)","C",2
"123",2013-05-09,"Clyde - d/s Camps Road, Crawford",100,"Olives (Baetidae)","C",2
"124",2013-05-09,"Clyde - d/s Camps Road, Crawford",200,"Stoneflies","C",2
"125",2013-07-04,"Clyde - d/s Camps Road, Crawford",14,"Total","B",2
"126",2013-07-04,"Clyde - d/s Camps Road, Crawford",30,"Caseless caddis","B",2
"127",2013-07-04,"Clyde - d/s Camps Road, Crawford",140,"BWO (Ephemerellidae)","C",2
"128",2013-07-04,"Clyde - d/s Camps Road, Crawford",110,"Flat bodied (Heptageniidae)","C",2
"129",2013-07-04,"Clyde - d/s Camps Road, Crawford",100,"Olives (Baetidae)","C",2
"130",2013-07-04,"Clyde - d/s Camps Road, Crawford",30,"Stoneflies","B",2
"131",2013-07-04,"Clyde - d/s Camps Road, Crawford",4,"Freshwater shrimp","A",2
"132",2013-08-25,"Clyde - d/s Camps Road, Crawford",11,"Total","B",2
"133",2013-08-25,"Clyde - d/s Camps Road, Crawford",5,"Caseless caddis","A",2
"134",2013-08-25,"Clyde - d/s Camps Road, Crawford",50,"BWO (Ephemerellidae)","B",2
"135",2013-08-25,"Clyde - d/s Camps Road, Crawford",30,"Flat bodied (Heptageniidae)","B",2
"136",2013-08-25,"Clyde - d/s Camps Road, Crawford",250,"Olives (Baetidae)","C",2
"137",2013-08-25,"Clyde - d/s Camps Road, Crawford",5,"Stoneflies","A",2
"138",2013-08-25,"Clyde - d/s Camps Road, Crawford",60,"Freshwater shrimp","B",2
"139",2013-10-18,"Clyde - d/s Camps Road, Crawford",10,"Total","B",2
"140",2013-10-18,"Clyde - d/s Camps Road, Crawford",6,"Caseless caddis","A",2
"141",2013-10-18,"Clyde - d/s Camps Road, Crawford",40,"Flat bodied (Heptageniidae)","B",2
"142",2013-10-18,"Clyde - d/s Camps Road, Crawford",150,"Olives (Baetidae)","C",2
"143",2013-10-18,"Clyde - d/s Camps Road, Crawford",20,"Stoneflies","B",2
"144",2013-10-18,"Clyde - d/s Camps Road, Crawford",12,"Freshwater shrimp","B",2
"145",2013-08-10,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",10,"Total","B",2
"146",2013-08-10,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",3,"Caseless caddis","A",2
"147",2013-08-10,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",20,"BWO (Ephemerellidae)","B",2
"148",2013-08-10,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",20,"Flat bodied (Heptageniidae)","B",2
"149",2013-08-10,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",25,"Olives (Baetidae)","B",2
"150",2013-08-10,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",3,"Stoneflies","A",2
"151",2013-08-10,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",15,"Freshwater shrimp","B",2
"152",2013-09-14,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",9,"Total","A",2
"153",2013-09-14,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",5,"Caseless caddis","A",2
"154",2013-09-14,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",15,"BWO (Ephemerellidae)","B",2
"155",2013-09-14,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",2,"Flat bodied (Heptageniidae)","A",2
"156",2013-09-14,"Avon Cander Water d/s STW*-  Davie Patterson & Heather Louise Gillespie",50,"Olives (Baetidae)","B",2
